x_value,total_1,total_2
0,1000,1000
1,1007,995
2,1014,994
3,1019,996
4,1025,992
5,1021,992
6,1027,997
7,1021,998
8,1026,1004
9,1033,1006
10,1028,1004
11,1027,1006
12,1025,1003
13,1019,998
14,1018,998
15,1013,1000
16,1008,998
17,1009,997
18,1008,1003
19,1011,1009
20,1010,1015
21,1014,1015
22,1018,1018
23,1019,1018
24,1015,1014
25,1019,1015
26,1023,1016
27,1018,1013
28,1020,1012
29,1018,1009
30,1014,1004
31,1022,999
32,1027,997
33,1023,1002
34,1031,1006
35,1034,1009
36,1038,1013
37,1035,1011
38,1037,1015
39,1031,1017
40,1027,1020
41,1024,1026
42,1024,1028
43,1026,1033
44,1023,1036
45,1024,1035
46,1024,1038
47,1029,1033
48,1034,1039
49,1035,1035
50,1038,1034
51,1038,1031
52,1040,1036
53,1047,1038
54,1043,1042
55,1041,1037
56,1040,1038
57,1041,1033
58,1044,1039
59,1044,1037
60,1050,1032
61,1055,1036
62,1057,1041
63,1054,1043
64,1054,1043
65,1051,1044
66,1050,1039
67,1046,1043
68,1044,1043
69,1050,1046
70,1045,1051
71,1051,1057
72,1057,1063
73,1058,1061
74,1063,1061
75,1061,1067
76,1055,1066
77,1057,1062
78,1062,1057
79,1057,1062
80,1057,1068
81,1054,1067
82,1049,1073
83,1043,1070
84,1046,1071
85,1053,1067
86,1059,1069
87,1066,1066
88,1061,1064
89,1056,1061
90,1050,1060
91,1047,1058
92,1044,1059
93,1041,1064
94,1043,1060
95,1040,1057
96,1038,1060
97,1042,1064
98,1049,1065
99,1046,1063
100,1045,1058
101,1046,1063
102,1046,1069
103,1042,1065
104,1038,1070
105,1043,1076
106,1040,1076
107,1036,1072
108,1041,1067
109,1044,1066
110,1040,1061
111,1041,1062
112,1038,1062
113,1040,1061
114,1036,1059
115,1038,1065
116,1032,1066
117,1031,1071
118,1038,1066
119,1043,1072
120,1040,1071
121,1043,1072
122,1038,1078
123,1038,1073
124,1042,1071
125,1045,1072
126,1042,1078
127,1041,1080
128,1035,1081
129,1033,1085
130,1031,1081
131,1034,1083
132,1029,1084
133,1032,1089
134,1031,1089
135,1031,1084
136,1036,1088
137,1037,1083
138,1036,1082
139,1041,1085
140,1047,1080
141,1047,1077
142,1047,1074
143,1050,1072
144,1044,1077
145,1039,1078
146,1047,1074
147,1044,1079
148,1041,1083
149,1039,1086
150,1036,1090
151,1031,1093
152,1039,1088
153,1045,1085
154,1045,1087
155,1044,1086
156,1043,1088
157,1051,1091
158,1046,1089
159,1047,1091
160,1051,1087
161,1050,1084
162,1050,1088
163,1050,1086
164,1056,1081
165,1055,1077
166,1058,1082
167,1062,1087
168,1056,1083
169,1060,1086
170,1064,1086
171,1069,1087
172,1075,1083
173,1078,1084
174,1076,1084
175,1080,1079
176,1081,1074
177,1086,1077
178,1094,1077
179,1099,1077
180,1096,1074
181,1092,1080
182,1098,1082
183,1105,1086
184,1112,1083
185,1107,1079
186,1112,1076
187,1116,1076
188,1122,1076
189,1121,1081
190,1117,1077
191,1120,1078
192,1115,1082
193,1118,1082
194,1122,1081
195,1127,1081
196,1127,1081
197,1131,1085
198,1129,1089
199,1127,1086
200,1121,1085
201,1119,1090
202,1119,1089
203,1123,1092
204,1129,1089
205,1129,1094
206,1128,1096
207,1127,1092
208,1135,1089
209,1133,1088
210,1134,1083
211,1133,1088
212,1140,1084
213,1142,1089
214,1138,1091
215,1138,1094
216,1144,1094
217,1142,1099
218,1146,1096
219,1148,1097
220,1155,1100
221,1153,1095
222,1152,1096
223,1147,1092
224,1143,1092
225,1148,1092
226,1154,1095
227,1157,1101
228,1164,1105
229,1158,1108
230,1152,1105
231,1157,1106
232,1154,1106
233,1157,1108
234,1151,1103
235,1154,1100
236,1155,1096
237,1162,1100
238,1164,1102
239,1168,1105
240,1174,1100
241,1182,1100
242,1185,1097
243,1193,1101
244,1190,1098
245,1194,1095
246,1190,1098
247,1187,1094
248,1193,1092
249,1188,1098
250,1184,1097
251,1188,1096
252,1186,1095
253,1188,1099
254,1194,1094
255,1193,1090
256,1196,1096
257,1192,1092
258,1196,1094
259,1197,1096
260,1204,1097
261,1210,1102
262,1209,1107
263,1206,1108
264,1206,1108
265,1204,1103
266,1209,1107
267,1212,1108
268,1213,1105
269,1214,1102
270,1218,1105
271,1222,1107
272,1226,1108
273,1229,1113
274,1232,1114
275,1237,1120
276,1245,1116
277,1249,1111
278,1252,1115
279,1258,1119
280,1259,1114
281,1255,1114
282,1253,1110
283,1254,1113
284,1260,1113
285,1257,1110
286,1255,1109
287,1251,1109
288,1256,1111
289,1253,1107
290,1256,1104
291,1253,1101
292,1252,1096
293,1247,1093
294,1251,1092
295,1254,1088
296,1250,1094
297,1249,1100
298,1250,1100
299,1253,1096
300,1256,1099
301,1254,1096
302,1256,1093
303,1258,1096
304,1265,1091
305,1271,1095
306,1270,1100
307,1276,1106
308,1280,1101
309,1284,1103
310,1285,1101
311,1288,1098
312,1296,1095
313,1296,1095
314,1301,1092
315,1300,1087
